360ONE	Financial Services
AARTIIND	Chemicals
ABBOTINDIA	Healthcare
ABCAPITAL	Financial Services
ABREL	Realty
ACC	Construction Materials
ADANIENT	Metals & Mining
AEGISLOG	Oil Gas & Consumable Fuels
AFFLE	Information Technology
AJANTPHARM	Healthcare
ALIVUS	Healthcare
ALKEM	Healthcare
AMBER	Consumer Durables
AMBUJACEM	Construction Materials
ANANTRAJ	Realty
ANGELONE	Financial Services
APLAPOLLO	Capital Goods
APLLTD	Healthcare
APOLLOHOSP	Healthcare
ASHOKLEY	Capital Goods
ASTERDM	Healthcare
ASTRAZEN	Healthcare
ATGL	Oil Gas & Consumable Fuels
ATUL	Chemicals
AUBANK	Financial Services
AUROPHARMA	Healthcare
AXISBANK	Financial Services
BAJAJ-AUTO	Automobile and Auto Components
BAJAJFINSV	Financial Services
BAJFINANCE	Financial Services
BANDHANBNK	Financial Services
BANKBARODA	Financial Services
BANKINDIA	Financial Services
BATAINDIA	Consumer Durables
BAYERCROP	Chemicals
BHARATFORG	Automobile and Auto Components
BHARTIHEXA	Telecommunication
BIOCON	Healthcare
BIRLACORPN	Construction Materials
BLUESTARCO	Consumer Durables
BOSCHLTD	Automobile and Auto Components
BPCL	Oil Gas & Consumable Fuels
BRIGADE	Realty
BRITANNIA	Fast Moving Consumer Goods
BSE	Financial Services
CAMS	Financial Services
CANBK	Financial Services
CAPLIPOINT	Healthcare
CASTROLIND	Oil Gas & Consumable Fuels
CDSL	Financial Services
CENTRALBK	Financial Services
CHAMBLFERT	Chemicals
CHENNPETRO	Oil Gas & Consumable Fuels
CHOLAFIN	Financial Services
CIPLA	Healthcare
COFORGE	Information Technology
COHANCE	Healthcare
COLPAL	Fast Moving Consumer Goods
CONCORDBIO	Healthcare
COROMANDEL	Chemicals
CROMPTON	Consumer Durables
CYIENT	Information Technology
DABUR	Fast Moving Consumer Goods
DALBHARAT	Construction Materials
DBCORP	Media Entertainment & Publication
DEEPAKNTR	Chemicals
DIVISLAB	Healthcare
DIXON	Consumer Durables
DLF	Realty
DRREDDY	Healthcare
EICHERMOT	Automobile and Auto Components
EIDPARRY	Chemicals
EMAMILTD	Fast Moving Consumer Goods
EMCURE	Healthcare
ERIS	Healthcare
EXIDEIND	Automobile and Auto Components
FEDERALBNK	Financial Services
FLUOROCHEM	Chemicals
FORTIS	Healthcare
GAIL	Oil Gas & Consumable Fuels
GLAND	Healthcare
GLAXO	Healthcare
GLENMARK	Healthcare
GNFC	Chemicals
GODREJCP	Fast Moving Consumer Goods
GODREJPROP	Realty
